"type","id","title","slug","url","modified","preliminary_group","indexability","canonical","internal_links","notes"
"page","1","Informazioni","info","https://triesteincostruzione.com/info/","2026-08-13T00:30:28","azienda / contatti","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS","possibile sovrapposizione informativa"
"page","2","Informazioni","informazioni","https://triesteincostruzione.com/informazioni/","2026-08-13T00:30:39","azienda / contatti","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS","possibile sovrapposizione informativa"
"page","3","Contatti","contatti","https://triesteincostruzione.com/contatti/","2026-08-13T00:30:51","azienda / contatti","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","4","","home","https://triesteincostruzione.com/home/","2026-08-13T00:29:46","legale / sistema","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","5","Blog","blog","https://triesteincostruzione.com/blog/","2024-01-17T11:51:38","legale / sistema","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","9","Milan Stevic: chi segue i lavori","chi-siamo","https://triesteincostruzione.com/chi-siamo/","2026-08-12T23:28:54","azienda / contatti","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","33","MURATURA","muratura","https://triesteincostruzione.com/muratura/","2026-08-13T00:28:57","muratura / ripristini","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","45","CARTONGESSO","cartongesso","https://triesteincostruzione.com/cartongesso/","2026-08-13T00:28:23","cartongesso","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","61","Muffa e umidità a Trieste: analisi e interventi","servizio-di-analisi-e-eliminazione-della-muffa","https://triesteincostruzione.com/servizio-di-analisi-e-eliminazione-della-muffa/","2026-08-14T11:06:31","muffa / umidità","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","78","Tinteggiatura e pitturazione a Trieste","servizio-di-pitturazione-e-tinteggiatura","https://triesteincostruzione.com/servizio-di-pitturazione-e-tinteggiatura/","2026-08-14T11:06:21","pittura / rasatura","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","103","Piastrellista a Trieste","servizio-di-piastrellatura","https://triesteincostruzione.com/servizio-di-piastrellatura/","2026-08-14T11:06:12","piastrelle / terrazzi","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","127","Servizio di un posatore di cartongesso","servizio-di-un-posatore-di-cartongesso","https://triesteincostruzione.com/servizio-di-un-posatore-di-cartongesso/","2026-08-13T00:28:38","cartongesso","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
